game_id,year,week,owner_1,score_1,owner_2,score_2,season,round
56,2012,12,ML,89,PD,61,Regular Season,Regular Season
57,2012,12,DK,105,DG,103,Regular Season,Regular Season
58,2012,12,WF,114,LB,87,Regular Season,Regular Season
59,2012,12,CN,89,OB,118,Regular Season,Regular Season
60,2012,12,NN,76,CD,103,Regular Season,Regular Season
61,2012,13,LB,75,OB,101,Regular Season,Regular Season
62,2012,13,NN,69,ML,106,Regular Season,Regular Season
63,2012,13,CD,120,CN,73,Regular Season,Regular Season
64,2012,13,DG,101,WF,102,Regular Season,Regular Season
65,2012,13,PD,61,DK,140,Regular Season,Regular Season
66,2012,14,DK,78,CD,164,Post Season,Wildcard
67,2012,14,ML,95,OB,113,Post Season,Wildcard
68,2012,14,PD,71,DG,97,Post Season,B4 Playoffs
69,2012,14,CN,71,LB,83,Post Season,B4 Playoffs
70,2012,15,CD,134,WF,80,Post Season,Semifinal
71,2012,15,OB,104,NN,72,Post Season,Semifinal
72,2012,15,ML,129,DK,105,Post Season,Consolation
73,2012,15,LB,88,DG,105,Post Season,B4 Playoffs
74,2012,15,PD,110,CN,64,Post Season,B4 Playoffs
75,2012,16,CD,147,OB,113,Post Season,Championship
76,2012,16,NN,98,WF,116,Post Season,3rd Place
77,2012,16,ML,116,DK,119,Post Season,Consolation
78,2012,16,PD,83,LB,77,Post Season,B4 Playoffs
79,2012,16,DG,92,CN,65,Post Season,B4 Playoffs
80,2013,1,NN,94,WF,106,Regular Season,Regular Season
81,2013,1,CD,138,OB,109,Regular Season,Regular Season
82,2013,1,ML,106,LB,74,Regular Season,Regular Season
83,2013,1,DG,93,DK,109,Regular Season,Regular Season
84,2013,1,CN,100,RW,162,Regular Season,Regular Season
85,2013,2,DG,84,LB,121,Regular Season,Regular Season
86,2013,2,WF,94,RW,111,Regular Season,Regular Season
87,2013,2,CN,93,CD,90,Regular Season,Regular Season
88,2013,2,NN,101,OB,129,Regular Season,Regular Season
89,2013,2,ML,136,DK,83,Regular Season,Regular Season
90,2013,3,DG,110,ML,101,Regular Season,Regular Season
91,2013,3,NN,102,DK,124,Regular Season,Regular Season
92,2013,3,CD,73,LB,83,Regular Season,Regular Season
93,2013,3,WF,118,CN,86,Regular Season,Regular Season
94,2013,3,OB,78,RW,83,Regular Season,Regular Season
95,2013,4,DG,80,WF,106,Regular Season,Regular Season
96,2013,4,ML,111,OB,85,Regular Season,Regular Season
97,2013,4,CN,55,LB,117,Regular Season,Regular Season
98,2013,4,DK,138,RW,155,Regular Season,Regular Season
99,2013,4,CD,124,NN,76,Regular Season,Regular Season
100,2013,5,LB,98,OB,65,Regular Season,Regular Season
101,2013,5,NN,124,DG,104,Regular Season,Regular Season
102,2013,5,WF,123,CD,102,Regular Season,Regular Season
103,2013,5,ML,114,RW,103,Regular Season,Regular Season
104,2013,5,CN,80,DK,101,Regular Season,Regular Season
105,2013,6,ML,79,WF,87,Regular Season,Regular Season
